その 割合 は 、 年々 着実 に 増加 し て おり 、 国勢 調査 局 に よる と 、 1996 年 に は 総 投票 数 の 11 ％ だけ が 大統領 選 選挙 日 の 前 に 投票 さ れ た が 、 今年 再度 伸び て いる 可能 性 が 高い よう だ 。	Den andelen har ökat stadigt med åren – bara 11 procent av de samlade rösterna lades före valdagen 1996 enligt folkbokföringsbyrån – och det verkar troligt att den kommer öka ordentligt igen .
「 私 たち は 他 の 国 に 私 達 が 豚 を 始め 、 異なる 種 の 動物 を 動物 園 に 迎える の を 助け て くれる よう 要請 し て いる 。 」 と サキブ は 言っ た 。	” Vi har bett andra stater att hjälpa oss befolka djurparken med olika djurarter , inklusive en gris ” , sade Saqib .
何 人 か の アナリスト が 、 ファーウェイ が サムスン の 挫折 から 最も 享受 する 位置 に いる と 予測 し た 。	Flera analytiker har föreslagit att Huawei har bäst position för att tjäna på Samsungs tillbakagång .
10 週間 の コース は 、 英国 の 諜報 機関 GCHQ の 「 認定 」 を 受け て いる 。	10-veckorskursen har ” certifierats ” av brittiska spionmyndigheten GCHQ .
歴史 の 中 で 、 国際 的 な ヘア マーケット は 常 に 政治 的 な 面 が ある と タルロ は 述べ て いる 。	Genom historien har den internationella hårmarknaden alltid haft en politisk dimension , säger Tarlo .
深セン の 交通 警察 は 以前 、 型破り な 罰則 を 選ん だ 。	Shenzhens trafikpolis har valt okonventionella straff förut .
今年 、 民主 党 側 から は 、 白人 男性 の アイデンティティ に つい て 多く の 議論 が なさ れ て いる 。	Mycket av debatten , från Demokraternas sida i år , har handlat om vit manlig identitet .
セガール は 、 祖母 が ロシア の 極東 ウラジオストク 出身 で 、 近年 は ロシア を 頻繁 に 訪れ て おり 、 9 月 に は カムチャッカ 、 サハリン を 訪問 し た 。	Seagal , vars farmor kom från Vladivostok i Rysslands östligaste delar har gjort flera resor till Ryssland de senaste åren och besökte Kamtjatka och Sakhalin i september .
研究 者 たち は 約 20 年 、 男性 ホルモン 避妊 薬 の 可能 性 を 調査 し て き た 。	Forskare har undersökt potentialen för manliga hormonella preventivmedel i ungefär 20 år .
ピュー 女史 は 、 ケンブリッジシャー の パップワース 病院 と アッデンブルック 病院 で 治療 を 受け た 。	Ms Pugh har fått behandling vid Papworths och Addenbrookes sjukhus i Cambridgeshire .
ライ の よう な 生徒 は 、 学校 で カウンセラー と 会っ て 何 が 起き た の か に つい て 話 を し て き て いる が 、 友人 に 会う の が 一番 癒し に なる そう で ある 。	Studenter som Rai har träffat kuratorer på skolan för att prata om det som hände , men hon säger att den största trösten har kommit från att träffa sina vänner .
